Author,Rating,Review
Isabella,1,"The most rude staff . Wrong order and then told me it was our fault.
Our first Tim Horton’s experience and we won’t be back"
Keely McGlynn,1,"We order DELIVERY from them and they put our hot and cold drinks in a Tim Hortons Tim bit box 📦 which when we picked it up exploded on our living room floor spraying our furniture, coffee in my hair and eyes .. I call the manager and his solution is for ME to come pick up “replacement drinks” no empathy, no sorry… he should be fired."
William Bougie,3,Same old same old. At least at this location ... they are nice and fast
David James,4,Cashiers are great.  I enjoy speaking with Kelly.
Christine Moryas,3,The location is badly understaffed and the wait is extremely long but the staff that is there are very nice and efficient. Just needs better management of staff as there was a table cleaner standing around alot of the time while the staff behind the counter were running around trying to get orders completed.
Helena Daly,4,Enjoyed warming up with a large coffee and wild blueberry muffin
najla Mohmand,4,"I totally dislike atmosphere, it's very dark not attractive and sleepy place lights are not bright, I love Tim Hortons but this place is something not attractive."
Valentina Hayduk,5,"I was so impressed with the efficient and quick service I received.
Such a pleasant and courteous staff. The young man who served me,
Philip, was very patient and informative about my choices, just to make sure I wouldn't be disappointed with my order.
Thanks to him, I really enjoyed my meal !
Bravo to the management for training such responsible young employees.
Highly recommended!"
Sergio Nuñez,5,Prompt. Hot beverages. Nice people
TCongo,5,"Your average tim horton plus. This place just looks fancier. The location is great, I would say that you will have a parking spot any time you go there. Good service and good food."
Jack Sparrow,4,Timmy Time at Tim Hortons :) Nothing like a hot chocolate n a Maple Glazed doughnut on a really cold day bbbrrr...
Carl Dourambeis,1,"Activated app for 2 deals, any size coffee and breakfast sandwich for 4 bucks, and 10 tidbits for 1 dollar. I was charged full price. Bait and switch. When I went to pick up the order, it was Kaos. My order was not ready. They did not even know what it was. They had no ticket. Tim Hortons app is garbage. This location is too busy to serve properly. Never again.  I want my refund on what the app promised. Rip off!!!"
Terri Hamelin,2,"My advice to people who buy from this Tim Hortons is to ask for your receipt once you have paid. This location is siphoning off it's customers. Yesterday, I bought 6 muffins and a $10 gift card. I paid with cash $20. I got back 40 cents change instead on $2.40. I asked for the receipt because of the gift card. I looked at the receipt and the employee punched in that I paid $18. This isn't the first time it has happened to me at this location. But it is the last. Never going back. Check your receipts people!"
james pfeiffer,1,Absolutely horrible service the staff is very very unorganized took 25 minutes for one sandwich. Need to close the store at this point. Also I went in after a mobile order at 7 pm and they were closed the staff were still inside and would not open the door for me to explain after I wasted 20 dollars on food I never got.
Kathy Knight,1,"The service was very poor from the moment I had to wait 30mins to get a bagel with cream cheese and a muffin. When I reached my destination, the bagel wasn't cut properly and t wasn't toasted with cream cheese only on a part of the bagel. Spoiled my entire morning with not only long waiting time but then not able to enjoy the bagel."
Kim Rozon,1,What a dirty dirt place. The floors were horribly dirty the windows in the display were smudged of grease and dirt. I went in for an Ice Cap… good thing because the food counter was totally unsanitary. Don’t go ever!!!
Maxximus,2,This location constantly runs out of breakfast items by mid morning. Bad inventory management. Staff nice enough though.
Kevin Smale,2,"Staff is friendly, but night is very disappointing.

I saw it was 24 hours, so I went in just before 1AM and they had basically nothing. Cookies? None. Muffins? One type. Donuts? Poor selection. I asked for a grilled cheese and was told they could not make me one, I could only choose combos 1, 2, or 3. I ordered a bagel and a french vanilla. I was then informed that the machine for french vanilla (and hot chocolate) was broken.

Would never go back at night again, only in the daytime."
Gali Zaki,3,"I've had a couple of rocky visits, one of the employees working (Seems to be a manager or owner), is very rude & impatient. Other than him, the rest of the staff is very sweet & friendly, I always get a smiley on my cup!"
Guy Belliveau,5,"Today I ordered 4 Egg, cheese, bacon sandwiches on a biscuit. 4 hash browns as well. I received my 4 sandwiches on English muffins and no bacon. The hash browns were so oily that they soaked the paper they were wrapped in and glued themselves to the wrapper. Very messy and falling apart.  Unfortunately it was a takeout order so I only noticed the order errors when I got home. I'd like to think that  this happens rarely but this location has repeatedly made errors like these. Sad. I will not return to this location unless it's just for a coffee. It's hard to get that wrong."
Liam Lalonde,3,"Acceptably quick and efficient employees, as long as you yourself (the client) approach the cashier with your order already in mind. Plenty of seating, table for two to four people each. Understandably, there is a limited amount of window space due to the shape of the building. Can become crowded in the midday."
Trevor Martin,1,Tried going here at 7:45pm thursday the 21st (they close at 8pm) just to quickly get a donut and the doors are locked but theres a guy and a girl hooking up where they make the food you can see from the sidewalk.. Its hilarious but absolutely disgusting.....needless to say i never got my donut 👁️👄👁️ …
Field Racer,3,"Very polite staff, but very slow. Ordered a hot chocolate and ice cap. Took 15 minutes to get my order. And there was only one other person in front of me. Was quite bizarre I've never had such slow service for a fully staffed location."
Christine Tousignant,1,"If I could give no stars I would - big line ups because the staff is on one speed - reverse!!!!  The woman who served me was more concerned about counting and converting her tip money than serving me.  The place is dirty and the washrooms are FILTHY!!!!!  Shame on the franchaisee - this place is not up to Tim Horton's standards!!!  I've been here once before for the ""all day breakfast"" - it was 11:00 am and they had run out of sausage - what happened to ALL DAY BREAKFAST???  I won't be going back there and my next complaint is going straight to Corporate.  No excuse for all of this!!"
Dan TheMan,1,Closed before 8pm not happy and not coming back
Ricardo Sibaja,3,"Tim Hortons is nice honestly even when it's not the best high quality coffee and donuts I think it's tasty for the price you're paying, in general I love it. Coffee, chocochip muffin, BLT sandwich or the travalleur sandwich are the best. This particular Tim's in the morning until lunch time is great, fast and you can stay there enjoying, don't go after lunch, I don't know why but the second shift is rude and impolite, the food is old (I think is the remaining food from the morning that nobody wanted it) and the place is dirty. Go in the morning sucks in the afternoon"
Ian Galt,1,"Horrible spot. Filthy counters, dirty windows, under-staffed, burnt food. One and done. Never going again. Plus they were out of half the stuff on their menu"
Adam McIntyre,1,"Manager needs to dip into his pockets and hire more staff.
Every time I come in here, there is not enough staff, so the service is always slow. It is also disgusting in here, with dirty tables, floors and overflowing garbage bins."
Steven Thompson,3,One of the slower tim hortons in the area and the workers aren't always the best but they do have one of the best employees around and his name is Felix. The guy is amazing at his job and whenever he takes my order I know it's going to be made correct and fast. Keep up the good work Felix.
Katie Maguire,1,"I went to get toast. They were out of white bread. I paid for 2 slices of cheese I got only 1. The toast was burnt. It was also cold. When I called to complain I was told the manager was not in and they were not sure when s/he would be in. I could not speak to the supervisor either., bad service bad food."
Janani Jegan,1,Staff are unorganized and completely lost. Not efficient at all during rush hour time. Having customers wait for extended amount of time without taking orders trying to figure out who's order is what. Please train them or hire more employees
Cassandra,1,Slowest “fast food” service i have ever received for 1 coffee. Was late to work
Chris,1,Not open 24 hours like their store and website says they should be.
chase lipari,1,"Pretty slow service, getting orders wrong and not having certain foods ready. I keep coming back because of the brand name but otherwise horrible service"
Rico,1,"Quality decreased so much used to be so great Sunday night getting my coffee and club from Gina and Alex
Hasn’t been the same"
Ed Kassem,4,Very fast. No crazy line-ups in the morning. Worth driving there to avoid waiting. No drive-thru though. You have to get out of your car.
Erin Biagini,1,"Terrible food quality and even worse customer service. I get that working in food service and customer service in general is not great, but that is no excuse to treat your customers like absolute garbage. Will not be returning after my experience this afternoon."
Mike Lowery,3,"As with all Tim Horton's they no longer make the doughnuts instore, and the lack of quality shows. Coffee, since they changed suplliers years ago, has also suffered. Okay for once in a while, but really, we need better doughnut and coffee shops. The store itself, is clean, and service is what you'd expect; it's good enough."
Jeremy Atkinson,1,I've been here twice now and a few of their people were not wearing masks.  In perticular the guy restocking the donuts fresh from the oven couldn't be bothered to cover his nose or his mouth while he hovered over the freshly baked donuts.  Anyone up for a COVID 19 donut?  They ice it in the shape of a crown
Ibrahem elsabawi,2,"The bagels were not fresh at all, they were rock solid! I felt like I was eating Dwayne Johnson himself. The staff were very friendly though."
Jupiter Kyle,3,Extremely frustrating to try and go here before 5am. The site says 24/7 but the door is locked overnight. The ladies working at 5am are lovely though. Still frustrating. Update your hours
Barry Robinson,1,"Service used to be good,  now they are just down right rude. They rush your order,  don't give you time to collect rewards or use offers. If they keep this up, this location will lose my business."
Opee Dhoe,1,"Needs to be managed better, some people are waiting 10 minutes for a coffee let alone any food"
Foxy Torino,2,"Bad coffee.... I feel its a gamble to eat there as it might be good or not.

I suggest the Tim Horton on Hymus and Des Sources.

Great managements and super clean and full o fresh donuts no matter the time of the day !!!"
Maxime Daviault,5,One of the best Tim Hortons in the west island! It offers efficient customer service and has no drive through so the speed at which they operate seems faster than your average tims
marian Pieklo,5,Well it's a Tim Hortons store.The coffee has always been hot every time that I have been there and their food is always fresh.After you finish eating and drinking your coffee you can go to Walmart or the Dollar Store or Home Depot.
Sheida Sn,1,"All of our orders were served cold☹ and n9t exactly what we wanted, missing cream, too much milk, etc. The cashier was not paying attention at all. He touched fork that we asked with bare hand, no glove ☹"
Selvalingam Mayooran,5,Excellent service and very quick I just order a medium double the work is there very friendly with the clients
Captain Nizar Dayoub,1,Nothing like Tim Hortons
Monique Orrell,3,"Only had a coffee, but needed to go to the bathroom. One stall had what looked to be a very dirty seat as it was brown coloured and the other, the handicapped one was out of toilet paper. I usually always rely on Tim Hortons bathroom and this one was a complete fail."
Martin Lefebvre,1,"Ordered a breakfast bundle ""
FesTim déjeuner classique pour 2 personnes"" that comes with two sandwiches, hash browns, coffees and a box of timbits. Received no hash browns and no coffees."
Allan Goodridge,2,"Oh my! Under staffed.....had to wait a good 30 to 40mins for a cup of coffee...and that was before the stores in the mall opened
Wish I could say it wasn't so....but it was."
Jean Jean,3,"It's okay.
I got my regular muffins there.
Watch out for the cashiers as they try to give you more than what you ordered so they can take more off your pockets if you're not paying attention."
Notorious Phil,5,They work so hard and have to deal with very rude impatient people but keep their cool. Great spot for a quick morning treat 😊 …
Todd Decker,2,Under staffed - much much to slow. Nice front cashier though
Joel Barman,4,"Everytime I come up to the Great White North, I always go to Tim Horton's. I know it's not like Dunkin Donuts in the states, but it's ok. With the exchange rate, it's dirt cheap for me."
Peter Rusyn,1,"This is a run down Tim Hortons in Pointe-Claire, Quebec. The owner doesn't care... Never has donuts, always smells of burnt Tim bits when you walk in and the Tim Hortons sign had letters burnt out for over 6 months. Calling out the owner... You need to give a little care, just a little."
Brian Murphy,1,Incredibly slow whenever I go here. 20 mins for a breakfast sandwich and they still managed to get it wrong.
Tom Harry,1,Very bad  sevice from morning  shift . So rude  employees so slow sevice. Store is  not clen. I will waiting my orders 13min she take  care another customer. I thing this store management  very  bad .we  are call from  head office soon.pls change management.
Lazarus Epoo,1,"Ordered from Uber eats. Asian guy calls me and doesn’t know the meaning of allergies when I told him I am allergic to raisins. Asked to speak to someone else, and they’re no better at English than the first guy. Also, didn’t speak French."
William Robert LEWIS,1,They gave my sandwich to someone who joined the line 10 minutes after me. Make sure you take your receipt.
Michal Robert,5,We  are visiting Monday evening 7p.m  sevice friendly .my coffee and sandwiches  awesome cashier woking excellent sevice. Thank  you  for my favorite hot coffee
Sam Linaa,5,Wow we  are going to this tim Hotion every night. One of the Young guy woking her every night. He  wokeing awsome.he always wash he hand make my sandwich  super.all ways clen and smile face..super service. 😍 …
Melissa Lockey-Chatham,3,"Was very dirty the last time I went. Normally, It's one if the cleaner Tim Hortons I've been to. However, they seemed short staffed in the middle of lunch."
Peter Sergakis,1,"Lots of staff walking around left and right, 5 total, 3 pick up orders and they make customers in line wait 20 minutes to get to the cash."
Noor Shadeed,1,Everytime I go to order iced coffee he gives me iced cap and after telling him that I ordered iced coffee not iced capp he just says that there's no iced coffee!!! It happened with me more than two times tho
Hal T,1,This has got to the worst Tim Horton’s in the entire country. The service is so bad and slow. It’s obvious that this establishment is understaffed.
Mangla Gogna,1,Received deliver with a wrong muffin and coffee spilled out with a open lid in bag. Uncooked wrap👎🏻
Giuseppe Bonadonna,1,"Really slow in the morning ,really slow at lunch time ,no one taking orders at the counter cause they are preparing food...."
Elizabeth Munoz,4,"It has good coffee, breakfast food and different kinds of pastries. If you like cream and sugar in your coffee, ask for a double-double."
Andrew Laramee,3,The cashier seemed rushed and got both my fiancée's and my order wrong. At least the guy who put our order together fixed it without any extra questions.
one human,2,What's the point of a phone number if nobody ever picks up? There isn't even a drive thru at your location how busy can it be 3 days in a row to not pick up the phone once. Lol
Rohan Peter,1,Very bad service   so slow  .service. people are roud face. I am waiting  my   bagal 30 min.  Horrible service morning  today.
Vincent Nachaty,3,Nothing special. Mundane service.
Logan Boyce,1,Insanely slow. Waited 20 mins for “fast food”.
Amer Fared,1,"Hey  we  are  visiting every morning  sevice is  very  slow we  are   wating  our  coffee 20 min .sevice very  bad
Poor  sevice every day"
Noa PB,5,"Tried to buy two drinks for my friend and I but didn't have enough money, but the guy at the cash gave us the drink for free. What a guy ❤️"
Geneviève Breault,1,Tim Hortons with no donuts!?!! And the closing time wasn't Near.
Davy Ly,2,"Stale donuts, avoid this Tim's and ice not well mixed. Worker was nice and have us a free donut to replace the stale ones"
Mark Bowditch,2,This is the slowest Tim Hortons I’ve ever been to. 15 minutes to get a coffee and donut.
ILOVECOOKIES,1,Ppl doing nasty things in the back room you could see from the side walk never eating there again that’s forsure
RACHID YASSINE,3,Mac cafe has better taste than tim sandwiches are not expert on it all processed no taste not healthy.
Tyler Wareham,5,Service is fast and they often have many people behind the counter for their rush periods
Traveler Patel,1,Very rude manager or maybe the owner.. I think he has to go to kindergarten to learn how to speak with people
Sunny Dabas,1,Worst Tim I ever visited. Shelves were empty. Bad experience.
Jonathan Hynes,2,Service isn't great. Employees are never in a good mood. Timbits are always delicious.
HonkOniSan,1,"would've given 0 stars if possile.
slow x100
unpolite x1000"
Josée-anne Fortier,1,Took 15 minutes for toast a a cream cheese and bacon bagel. They still manage to screwes up tje order
Jean-Raymond Stratford Desjardins,5,Good ol Tim's there is so much food turnover everything is always fresh. The week/day crew rocks
Beverly Milstein,5,This tim Horton is the best to me. I really feel good and they treated with so much respect.
John Samways,5,It was great. I tried the vegi burger. Nice and tastey but a bit pricey but it sure tasted good
Brent Hierons,5,The staff was friendly and efficient considering I had a large order.  Also very clean!!
Jo-Ann Darroch,5,The cleanest of the Tims in our area for sure.  Always well staffed to accommodate the rush.
Adam Lindeman,3,"Good, not getting four stars because they need to do maintenance on thier equipment."
Rodolph Dandan,5,"Great service as usual. Had a quick lunch with my wife, soupe was good"
Claude B,1,Couldn't figure out simple order of sandwich and drinks. No soap in bathrooms
Steven Pereira,5,Collect Tim Hortons Legends hockey cards is my passion 👌
Dyvyne Ozegbe,5,"It's the best,if you haven't been to Tims just go try it I can't explain."
Zaki Chammaa,1,Rude cashier. She had a headphone and she was talking on the phone while taking my order. Won't come back.
Shéraz K,4,Friendly staff... I went there at 4.30 am... good location. Seems new and clean
Diego Gudino,1,"The worst Tim ever. no eggs one time!!!!, no potatoes many times, I don't recommend it. Unfortunately, it is close to my work."
Richard Hould,5,Have been going here for years and service has always been good.
Ali,4,"The shop is always cold. Extremely cold, winter or summer you need a hoodie."
Jon Tobber,1,Worst service ever.  Waited 10 minutes for an ice cap.  Bunch of workers are shooting the breeze in the back while one guys works the front.
Arielle Roland,1,Horrible service no hygiene measures taken rude employees wrong order horrible absolutely horrible service so disappointed
samir sibai,1,"I went there for my coffee break  ( 10h00 ) , I ordered coffee and muffin, unfortunately my muffin was rotten, never again for this location .Worse than a waste bin"
C B,3,Disappointed with the slow service and it wasn't even busy. Food wasn't that good either.
Francesca Kyne,4,"Always pleasant , quick and efficient at serving their customers."
Scott Sarrio,2,Cheap owner. Place is understaffed and very cold during cold weather. I had to wear my jacket.
Casey Sidhu,5,"Great staff, quick service, food was good for what it was"
Charles Hammock,5,My favorite tims great service awsome workers on morning shift
Elaine M,4,Good blingual friendly service.  Coffee was hot and fresh.
Francois Caron,1,Purchased a coffee at around 7pm.  The worst coffee ever...tasted like it was made 6 hours ago.  Avoid this location
Sara,4,"Good selection of food, but staff is slowwwwww"
Ryan Sauve,1,"Very slow service, even during non-peak hours."
Matthew St.James,1,Received attitude from the staff after being served a rotten egg biscuit. Not recommended.
Eli Chemtob,4,the only tim hortons i know of that sells a coconut donut. thumbs up
Elizabeth Lajoie,3,Very slow.  Ok at best.  But a better tims than most
Kris Boudreau,1,Very dirty and disorganized. Do better ✋🏾😬 …
karla Bernier,5,Great service and good coffee
Mathieu Auclair,5,Quick friendly service.  Love the coffee ☕
Raji Vijayaraja,5,Great service this is my best to Timhortons
Kosta S,5,Clean place. Friendly service.
Jack William,1,The ice cap Is disgusting and an Indian man threw something inside my coffee.
Sharon Strike Touma,5,Tim Hortons is a wonderful place to have a good coffee.
Brianna Mc Enroe,1,The person working at the Tim Hortons wasn’t wearing any gloves or masks!!
Robyn Smith-Hould,4,"Crowded, fast and friendly service, some mix ups with orders"
David Titov,1,"The workers are okay but the bathrooms are awful,  there where feces around the seat!"
Sinh Nikone Akkharath,1,Wait 2 hours for a F fast food. Slow slow slow slow
SHARA M,1,4 people behind the counter and I waited 5 minutes b4 leaving the store.
Terry Wilson,5,Very nice hospitality! Thank you for being so kind Tyeisha.
stephen kerr,1,Dirty bad service can not get an order right
Alan Murray,2,They never had good coffee and they still don't!
Seyed Sadr,5,Enjoyed the customer service and the warmth of the staff
Christina Schlosberger,3,Simple cheap coffee. Quick service
David Bernstein,1,"This TH is chaos behind the counter at any time of day, prepare to wait and wait and ..."
Eric Mitchell (Mite000),2,Freezer Burnt Hashbrowns twice in a row
David Vadoud Naderi,4,Located far from the main Street! But warm and cozy
Gilda Genis,1,The coffee machine doesnt even work here
Jamie Laudi,4,Good service . Clean . No drive though.
Tudor Alexandru,1,Slow slow slow slow and long long long lineup..... - 5 stars
AJ Cordeiro,4,It's your standard Timmie's location - you'll find all your usual favourites here.
Behnam Izadi,3,There is no plug on the walls to connect your charger
Francesco Miceli,1,They never have what you want. I HATE TIM HORTONS.
Lou L,1,The slowest Tim Hortons I've ever been to
Robert Gillelan,3,Standard fast service food and coffee.
Ken Lee,3,Convenient location to grab a quick bite between meetings
Rose-Anna Star,2,Staff shortage makes for unhappy customers and overworked personal
Jorge Velasco,5,"Great food, prices and service"
Chugh Jerry96,1,All 5hey have is coffee and french vanilla 😪 …
Tallermage,4,"Average small timhortons, staff is nice and quick"
Poch,1,Waited 30m to get 2 coffees
Michael Zimmer,5,Thank you for delivering my morning coffee with a smile
Mathieu Ruel,4,Staff is great and service is fast
Jack Pym,5,Quick service and great staff.
Larry Fagen,4,"Bathroom was out of order, everything else was okay."
Ron Pepper,3,Typical good service nothing special
b r,5,Service is great and the staff is friendly
Marc Lizotte,4,Always busy but great staff
audrey,3,Good service. Place needs an update
Glennis Kendall,4,Very cold but always clean
ERIC HUNT,5,"Good staff, clean, speak English."
Anne Russ,2,The usual 'timmies' that we all know but far too small.
Sky Israel,3,"Good, but cleanliness gets a ""F"""
BTOoN Cartoon,1,Horrible service and very bad quality
DG He,4,It may be  a nice place for coffee
lorraine Forest,5,Great breakfast 🍳 and service 🥓😊 …
Eric Schultz,4,Quick reliable service in a convenient location.
Darlene Lane,4,Love TH game almost every day !!!!
melanie “mel” young,5,Great for coffee and friends
Darryl,3,Its a timmies nothing more nor less
REGULAR LEMON,5,Cheap and very fast for rush hour
Venkata Manikanta Bellam,5,Beat place to have a coffee and some snacks!
Maurice,4,Bathrooms not clean
Matthew Adams,4,"It's a Tim Hortons, plain and simple"
Kathy Hebb,5,"Friendly people, good service."
Sameer Riaz,2,They run out of stuff quickly
Akram Rashid,3,It's ok
Nicolette Findlay,5,Great restaurant and staff!
James Hutchinson,4,"Great service, quick and friendly!"
Glenn Waters,5,Best Tim's around.
Malek Chaar,4,Was quit when i was there not busy...
Rick Sayers,4,Fair service lots of room
Thomas Prchal,3,night service could be better
JoseAntonio,5,"Like everyday...!
Delicious"
fyiKick,5,Your average Tim Hortons.
steve goodman,4,Good donuts inconsistent quantities
Jacques Daigneault,1,"Floors, bathrooms and overall place filthy"
Leslie M. Lengyel,4,"Place to have coffee,  donuts, breakfast,  sandwich."
Soban Chaudary,4,Best in town for coffee
Nabil Sioufi,5,Good fast food
Najam Abbasi,3,Not every item available
Crystal Kendra Heather Kelly,5,Always friendly service!!!
amy lefebvre,4,Good food
Carolyn Clark,5,Good friendly service
Henry Gamboa,5,Good coffee and donut
DEE ENN,4,Meh coffee and food.
maher alnaser,5,Good co coffee
Chehab sh,5,DD every single time!
Darren Moore,3,Stop by for a quick snack
Real Zarbl,2,Too slow!
John Pinnell,4,No drive through
Carlos A,1,Super slow service
Roberto Anania,5,Perfect for a quick bite
Stephen Machika,2,Never any donuts
T K,1,Very rude
